Date,AAPL,ADBE,ADI,AMAT,AMD,AVGO,CRM,CSCO,DOCU,FTNT,HPE,IBM,INTC,LRCX,MDB,MRVL,MSFT,MSI,MU,NET,NVDA,ORCL,PINS,QCOM,RBLX,SHOP,SLAB,SNAP,SNOW,STX,TMUS,TTD,TWLO,TXN,VZ,WDC,ZM
2022-01-03,178.64564514160156,564.3699951171875,166.27955627441406,154.990234375,150.24000549316406,61.66777420043945,253.240966796875,56.77495574951172,157.00999450683594,66.6240005493164,14.534895896911621,117.60002899169922,49.350486755371094,71.05156707763672,487.55999755859375,88.12663269042969,325.0380554199219,256.4424133300781,93.83805084228516,126.16000366210938,30.066131591796875,83.57337188720703,36.40999984741211,172.12306213378906,98.80999755859375,136.31399536132812,204.50999450683594,46.59000015258789,332.010009765625,99.75365447998047,111.49076843261719,90.11000061035156,262.2900085449219,171.99070739746094,41.99247741699219,49.741031646728516,184.25999450683594
2022-01-04,176.37835693359375,554.0,164.77774047851562,153.46871948242188,144.4199981689453,62.37433624267578,246.0737762451172,55.38248825073242,154.44000244140625,64.4280014038086,15.156279563903809,119.31165313720703,49.285560607910156,69.73329162597656,465.3699951171875,87.08207702636719,319.4645690917969,253.92044067382812,94.4162826538086,114.95999908447266,29.236648559570312,84.46708679199219,33.130001068115234,173.06590270996094,95.1500015258789,122.18599700927734,205.33999633789062,44.029998779296875,315.5299987792969,102.27481842041016,111.13027954101562,85.36000061035156,251.0,172.1712188720703,42.81727600097656,51.016056060791016,179.85000610351562
2022-01-05,171.6866912841797,514.4299926757812,162.23402404785156,148.99143981933594,136.14999389648438,59.77865219116211,225.69236755371094,54.505409240722656,144.1699981689453,60.698001861572266,15.210308074951172,119.48453521728516,49.962608337402344,67.75589752197266,428.7699890136719,82.89402770996094,307.2009582519531,248.46426391601562,92.51502990722656,105.94999694824219,27.553720474243164,82.2042236328125,32.84000015258789,172.39112854003906,88.54000091552734,119.0009994506836,196.69000244140625,41.33000183105469,296.8699951171875,101.12002563476562,112.3968734741211,79.63999938964844,235.19000244140625,168.57980346679688,43.25769805908203,50.593563079833984,174.8800048828125
2022-01-06,168.8206787109375,514.1199951171875,162.7502899169922,151.51112365722656,136.22999572753906,59.22361755371094,227.1595001220703,55.08409118652344,143.10000610351562,62.79999923706055,15.282354354858398,116.99491882324219,50.09245681762695,68.74508666992188,429.67999267578125,84.34363555908203,304.77349853515625,247.10255432128906,93.74005889892578,104.04000091552734,28.126670837402344,82.39510345458984,32.689998626708984,171.88275146484375,89.19999694824219,116.89299774169922,197.27000427246094,41.68000030517578,297.0899963378906,99.06604766845703,112.60148620605469,76.93000030517578,238.64999389648438,168.52569580078125,43.049495697021484,48.843231201171875,176.3300018310547
2022-01-07,168.987548828125,510.70001220703125,158.4794921875,146.15188598632812,132.0,57.56135559082031,226.3267822265625,55.27398681640625,135.92999267578125,62.93199920654297,15.42644214630127,116.5540542602539,49.56380081176758,65.55028533935547,429.6300048828125,81.95719909667969,304.9288635253906,242.17381286621094,92.56402587890625,107.0,27.19736671447754,83.51162719726562,32.41999816894531,166.7618408203125,84.37000274658203,114.447998046875,188.52999877929688,41.36000061035156,299.67999267578125,97.81429290771484,106.92123413085938,78.94000244140625,230.1999969482422,161.9203338623047,43.9571647644043,49.665584564208984,171.60000610351562
2022-01-10,169.00717163085938,525.8300170898438,159.9437713623047,144.96958923339844,132.0,57.74822998046875,227.63534545898438,55.897884368896484,136.22999572753906,64.94200134277344,15.309370994567871,116.72693634033203,51.20541763305664,65.06057739257812,435.0,81.0697021484375,305.1522216796875,245.51080322265625,92.01520538330078,110.75,27.35009002685547,85.20077514648438,32.70000076293945,166.08706665039062,85.5199966430664,113.11699676513672,187.67999267578125,41.709999084472656,302.7300109863281,100.86436462402344,103.02397155761719,81.0,227.52000427246094,165.09669494628906,43.65730667114258,49.44679260253906,172.55999755859375
2022-01-11,171.84376525878906,529.8900146484375,162.97557067871094,147.74124145507812,137.30999755859375,57.830955505371094,232.8000946044922,56.39519119262695,142.1300048828125,64.71199798583984,15.345392227172852,114.85971069335938,51.85464859008789,65.9342041015625,443.7900085449219,85.033935546875,305.8416442871094,245.5299530029297,92.31900787353516,114.13999938964844,27.76633071899414,84.43732452392578,34.0,171.3743133544922,89.04000091552734,115.73100280761719,188.86000061035156,43.310001373291016,301.2699890136719,98.4842529296875,108.11963653564453,84.87999725341797,234.17999267578125,166.61264038085938,43.43039321899414,49.808929443359375,175.97000122070312
2022-01-12,172.2854766845703,532.3699951171875,163.0881805419922,154.62197875976562,137.47000122070312,57.82630920410156,235.76409912109375,56.16913986206055,139.25,64.15799713134766,15.444453239440918,115.48210906982422,51.69697570800781,67.21820831298828,432.489990234375,83.76181030273438,309.03619384765625,246.297119140625,93.2108383178711,113.97000122070312,27.9480037689209,84.27509307861328,34.43000030517578,172.3171844482422,89.05999755859375,116.8759994506836,189.5,42.72999954223633,307.1400146484375,99.81536865234375,108.00272369384766,82.38999938964844,227.11000061035156,167.866943359375,43.316932678222656,50.20124816894531,170.64999389648438
2022-01-13,169.00717163085938,516.9000244140625,159.36184692382812,152.32516479492188,132.74000549316406,55.51976776123047,226.64402770996094,55.60853576660156,130.58999633789062,61.57600021362305,15.750643730163574,116.49351501464844,50.95500183105469,67.26227569580078,390.8299865722656,77.55906677246094,295.95697021484375,240.591552734375,93.71066284179688,98.9800033569336,26.52659034729004,83.77883911132812,32.970001220703125,169.97857666015625,80.18000030517578,106.43599700927734,186.5,38.380001068115234,291.760009765625,97.70849609375,107.29147338867188,75.76000213623047,217.16000366210938,166.17047119140625,43.37366485595703,50.17861557006836,162.10000610351562
2022-01-14,169.8709259033203,520.5999755859375,161.44557189941406,161.8418426513672,136.8800048828125,55.44352722167969,229.22142028808594,55.48194885253906,130.44000244140625,62.507999420166016,15.813678741455078,116.01809692382812,51.65987777709961,71.47859191894531,396.8900146484375,81.8487319946289,301.2003479003906,240.81214904785156,95.4159164428711,100.29000091552734,26.89292335510254,83.68342590332031,32.83000183105469,174.41543579101562,79.05000305175781,110.29100036621094,187.30999755859375,38.040000915527344,289.5899963378906,96.26280975341797,105.7325668334961,75.47000122070312,215.16000366210938,168.75125122070312,43.17916488647461,50.27669143676758,159.72000122070312
