Date,GC=F Close,HG=F Close,PA=F Close,PL=F Close,SI=F Close,SLAB Close,GC=F High,HG=F High,PA=F High,PL=F High,SI=F High,SLAB High,GC=F Low,HG=F Low,PA=F Low,PL=F Low,SI=F Low,SLAB Low,GC=F Open,HG=F Open,PA=F Open,PL=F Open,SI=F Open,SLAB Open,GC=F Volume,HG=F Volume,PA=F Volume,PL=F Volume,SI=F Volume,SLAB Volume
2020-01-02,1524.5,2.8329999446868896,1927.800048828125,978.5999755859375,17.965999603271484,118.41000366210938,1528.699951171875,2.8329999446868896,1927.800048828125,990.0,17.989999771118164,118.44999694824219,1518.0,2.7945001125335693,1927.800048828125,978.5999755859375,17.965999603271484,115.83000183105469,1518.0999755859375,2.816499948501587,1927.800048828125,985.0,17.965999603271484,117.05999755859375,214.0,1182,0.0,2.0,2.0,162600.0
2020-01-03,1549.199951171875,2.7985000610351562,1955.5,984.5,18.06800079345703,116.08999633789062,1552.699951171875,2.7985000610351562,1955.5,987.2000122070312,18.110000610351562,117.56999969482422,1530.0999755859375,2.7894999980926514,1955.5,980.5999755859375,17.96500015258789,115.6500015258789,1530.0999755859375,2.7934999465942383,1955.5,986.5,18.110000610351562,116.33000183105469,107.0,321,0.0,32.0,83.0,157100.0
2020-01-06,1566.199951171875,2.80049991607666,1989.4000244140625,960.4000244140625,18.097000122070312,115.70999908447266,1580.0,2.80049991607666,1989.4000244140625,985.7999877929688,18.104999542236328,115.93000030517578,1560.4000244140625,2.7780001163482666,1989.4000244140625,960.0,18.024999618530273,112.98999786376953,1580.0,2.7780001163482666,1989.4000244140625,985.7999877929688,18.024999618530273,114.37000274658203,416.0,333,0.0,65.0,3.0,232900.0
2020-01-07,1571.800048828125,2.803999900817871,2014.0999755859375,966.0,18.31599998474121,117.19000244140625,1576.300048828125,2.806999921798706,2014.0999755859375,973.0,18.344999313354492,117.80000305175781,1558.300048828125,2.8010001182556152,2014.0999755859375,959.9000244140625,18.014999389648438,115.29000091552734,1558.300048828125,2.8010001182556152,2014.0999755859375,965.2999877929688,18.014999389648438,115.98999786376953,47.0,261,0.0,55.0,33.0,147900.0
2020-01-08,1557.4000244140625,2.819000005722046,2061.199951171875,959.0,18.08799934387207,117.30999755859375,1604.199951171875,2.819000005722046,2061.199951171875,968.9000244140625,18.5049991607666,118.41000366210938,1552.300048828125,2.7804999351501465,2061.199951171875,956.0,18.06999969482422,116.5,1579.699951171875,2.7869999408721924,2061.199951171875,968.9000244140625,18.399999618530273,117.5199966430664,236.0,394,0.0,23.0,31.0,207700.0
2020-01-09,1551.699951171875,2.810499906539917,2060.199951171875,967.0999755859375,17.860000610351562,118.41000366210938,1555.699951171875,2.825500011444092,2060.199951171875,967.0999755859375,17.860000610351562,118.88999938964844,1543.300048828125,2.8010001182556152,2060.199951171875,967.0999755859375,17.760000228881836,117.13999938964844,1555.699951171875,2.825500011444092,2060.199951171875,967.0999755859375,17.760000228881836,118.51000213623047,54.0,208,0.0,0.0,38.0,153500.0
2020-01-10,1557.5,2.81850004196167,2072.699951171875,981.2000122070312,18.033000946044922,118.69999694824219,1558.800048828125,2.8259999752044678,2072.699951171875,981.5,18.033000946044922,118.8499984741211,1545.4000244140625,2.801500082015991,2072.699951171875,972.0,18.033000946044922,117.27999877929688,1551.199951171875,2.809999942779541,2072.699951171875,972.0,18.033000946044922,118.66999816894531,16.0,364,0.0,12.0,2.0,234900.0
2020-01-13,1548.4000244140625,2.8615000247955322,2078.89990234375,977.2999877929688,17.926000595092773,119.52999877929688,1558.0,2.861999988555908,2078.89990234375,978.7999877929688,18.020000457763672,120.47000122070312,1548.4000244140625,2.8554999828338623,2078.89990234375,970.0999755859375,17.926000595092773,119.08999633789062,1557.4000244140625,2.861999988555908,2078.89990234375,978.7999877929688,17.969999313354492,119.2699966430664,48.0,247,0.0,6.0,5.0,237400.0
2020-01-14,1542.4000244140625,2.875999927520752,2123.300048828125,982.2000122070312,17.673999786376953,118.88999938964844,1546.699951171875,2.875999927520752,2123.300048828125,982.2000122070312,17.875,120.62999725341797,1534.9000244140625,2.8575000762939453,2123.300048828125,981.5,17.673999786376953,118.27999877929688,1546.699951171875,2.8575000762939453,2123.300048828125,982.2000122070312,17.854999542236328,119.19000244140625,32.0,292,0.0,9.0,17.0,166200.0
2020-01-15,1552.0999755859375,2.869999885559082,2176.10009765625,1020.4000244140625,17.92300033569336,117.41999816894531,1553.9000244140625,2.869999885559082,2176.10009765625,1020.4000244140625,17.92300033569336,119.58000183105469,1545.5999755859375,2.8485000133514404,2176.10009765625,993.4000244140625,17.92300033569336,116.91999816894531,1548.0,2.8610000610351562,2176.10009765625,993.4000244140625,17.92300033569336,118.33000183105469,11.0,288,0.0,1.0,0.0,207000.0
2020-01-16,1549.0,2.8519999980926514,2188.800048828125,995.7000122070312,17.875,119.43000030517578,1556.0999755859375,2.8554999828338623,2188.800048828125,1035.0,17.950000762939453,119.83000183105469,1548.5,2.8459999561309814,2188.800048828125,995.7000122070312,17.875,118.45999908447266,1555.699951171875,2.8545000553131104,2188.800048828125,1035.0,17.950000762939453,118.51000213623047,98.0,237,0.0,62.0,52.0,198800.0
2020-01-17,1558.800048828125,2.8494999408721924,2237.89990234375,1019.4000244140625,18.01300048828125,119.44999694824219,1558.800048828125,2.8575000762939453,2237.89990234375,1019.4000244140625,18.01300048828125,120.08999633789062,1553.5999755859375,2.8494999408721924,2237.89990234375,1013.2999877929688,18.01300048828125,118.33999633789062,1554.0999755859375,2.8570001125335693,2237.89990234375,1016.4000244140625,18.01300048828125,120.0,108.0,298,0.0,2.0,67.0,190800.0
2020-01-21,1556.4000244140625,2.7985000610351562,2245.699951171875,1002.0,17.750999450683594,119.2300033569336,1566.199951171875,2.813499927520752,2245.699951171875,1002.0,17.750999450683594,119.9800033569336,1551.0,2.7985000610351562,2245.699951171875,1002.0,17.750999450683594,118.04000091552734,1559.300048828125,2.809000015258789,2245.699951171875,1002.0,17.750999450683594,118.5999984741211,45.0,401,0.0,0.0,175.0,268500.0
